session_id,room_id,start_time,end_time,type,expected_attendance
S001,blueberry,2026-05-07T09:00:00,2026-05-07T10:30:00,plenary,15
S002,cookie,2026-05-07T10:30:00,2026-05-07T12:15:00,symposium,10
S003,pikachu,2026-05-07T10:30:00,2026-05-07T12:15:00,symposium,8
S004,pizza,2026-05-07T11:00:00,2026-05-07T12:15:00,workshop,10
S005,burger,2026-05-07T11:00:00,2026-05-07T12:30:00,symposium,8
S006,snorlax,2026-05-07T10:30:00,2026-05-07T12:00:00,symposium,6
S007,brownie,2026-05-07T10:30:00,2026-05-07T12:00:00,symposium,8
S008,cookie,2026-05-07T13:30:00,2026-05-07T15:15:00,symposium,10
S009,pikachu,2026-05-07T13:45:00,2026-05-07T15:15:00,symposium,8
S010,pizza,2026-05-07T14:00:00,2026-05-07T15:15:00,workshop,10
S011,lasagna,2026-05-07T14:00:00,2026-05-07T15:30:00,symposium,8
S012,charizard,2026-05-07T13:30:00,2026-05-07T15:00:00,symposium,6
S013,brownie,2026-05-07T14:00:00,2026-05-07T15:30:00,symposium,8
S014,coconut,2026-05-07T14:00:00,2026-05-07T15:30:00,plenary,15
